STATEWIDE COUNTY REPORT,,,,,,,,,,,,,,
,,,Total,% Index,,,,,,,Motor,Crime Rate,% Rate,Clearance
January - December 2021,,,Crime,Change,,,,Aggravated,,,Vehicle,"Per 100,00",Change,Rate /
Annual Report,Year,Population,Index,2020/2021,Murder,Rape,Robbery,Assault(1),Burglary,Larceny,Theft,Population,2020/2021,100 Offenses
,,,,,,,,,,,,,,
Polk County,2020,"715,090","12,117",,40,171,209,"1,695","1,576","7,471",955,"1,694.5",,26.3
FL053,2021,"748,365","11,202",-7.6,43,246,176,"1,969","1,342","6,498",928,"1,496.9",-11.7,28.7
 - Polk County 2021 estimate based upon data representing 100.0% of population,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Putnam County,2020,"73,723","1,498",,10,15,30,96,264,997,86,"2,031.9",,42.1
FL054,2021,"73,673","1,185",-20.9,7,17,21,74,176,802,88,"1,608.5",-20.8,46.4
 - Putnam County 2021 estimate based upon data representing 98.0% of population,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
St. Johns County,2020,"261,898","2,566",,4,22,32,319,275,"1,755",159,979.8,,25.6
FL055,2021,"285,530","1,903",-25.8,0,46,0,322,237,"1,183",115,666.5,-32.0,24.1
 - St. Johns County 2021 estimate based upon data representing 92.3% of population,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
St. Lucie County,2020,"322,265","4,497",,18,93,123,581,468,"2,885",329,"1,395.4",,33.9
FL056,2021,"340,060","4,230",-5.9,12,90,81,581,411,"2,738",317,"1,243.9",-10.9,33.9
 - St. Lucie County 2021 estimate based upon data representing 100.0% of population,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Santa Rosa County,2020,"184,653","1,730",,5,46,19,170,323,"1,045",122,936.9,,45.4
FL057,2021,"191,911",--,--,--,--,--,--,--,--,--,--,--,--
 - Santa Rosa County 2021 estimate unavailable due to limited size of data sample (5.3% of population),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Sarasota County,2020,"434,199","7,621",,7,102,134,735,932,"5,310",401,"1,755.2",,26.5
FL058,2021,"436,746","7,247",-4.9,10,86,123,787,871,"4,913",457,"1,659.3",-5.5,26.4
 - Sarasota County 2021 estimate based upon data representing 36.6% of population,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Seminole County,2020,"476,727","7,397",,14,193,202,971,754,"4,851",412,"1,551.6",,22.8
FL059,2021,"477,455","6,295",-14.9,15,206,134,724,878,"4,009",329,"1,318.4",-15.0,23.1
 - Seminole County 2021 estimate based upon data representing 91.6% of population,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Sumter County,2020,"141,422","1,246",,3,22,20,234,191,666,110,881.1,,69.3
FL060,2021,"134,593",--,--,--,--,--,--,--,--,--,--,--,--
 - Sumter County 2021 estimate unavailable due to limited size of data sample (0.0% of population),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Suwannee County,2020,"45,463",913,,1,13,19,183,260,378,59,"2,008.2",,39.8
FL061,2021,"43,676",--,--,--,--,--,--,--,--,--,--,--,--
 - Suwannee County 2021 estimate unavailable due to limited size of data sample (0.0% of population),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Taylor County,2020,"22,436",689,,3,8,9,118,240,256,55,"3,071.0",,44.3
FL062,2021,"20,957",--,--,--,--,--,--,--,--,--,--,--,--
 - Taylor County 2021 estimate unavailable due to limited size of data sample (0.0% of population),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Union County,2020,"15,410",134,,1,3,2,31,41,45,11,869.6,,92.5
FL063,2021,"15,799",84,-37.3,0,0,1,24,24,27,8,531.7,-38.9,85.7
 - Union County 2021 estimate based upon data representing 100.0% of population,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Volusia County,2020,"551,528","10,956",,26,160,264,"1,578","1,429","6,727",772,"1,986.5",,36.6
FL064,2021,"563,286","9,711",-11.4,32,155,252,"1,660","1,084","5,864",664,"1,724.0",-13.2,36.5
 - Volusia County 2021 estimate based upon data representing 100.0% of population,,,,,,,,,,,,,,
